name;date;adults;children;no_rooms;address;rating;room;capacity;price
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;123
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;137
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;144
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;160
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;133
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;148
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;154
Brunnenhof City Center;2023-04-10;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;171
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;117
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;130
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;137
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Großes Doppelzimmer;2;152
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;126
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;141
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;146
Brunnenhof City Center;2023-04-11;2;0;1;Schillerstrasse 36, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Doppelzimmer;2;162
