name;date;adults;children;no_rooms;address;rating;room;capacity;price
Hotel Amalia - Boutique Hotel;2023-06-11;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-11;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-12;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-12;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-13;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-13;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-13;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-14;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-14;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-14;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-15;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-15;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-15;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-16;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-17;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-18;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-19;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-20;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-21;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-22;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-23;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-24;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-25;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;172
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;182
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;203
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;203
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;203
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;224
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;224
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;224
Hotel Amalia - Boutique Hotel;2023-06-26;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;285
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-27;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-28;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;187
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;198
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;221
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer;2;221
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Junior Suite;2;243
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Familiensuite;2;243
Hotel Amalia - Boutique Hotel;2023-06-29;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Suite;2;310
Hotel Amalia - Boutique Hotel;2023-06-30;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Doppelzimmer;2;281
Hotel Amalia - Boutique Hotel;2023-06-30;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Superior Doppelzimmer;2;297
Hotel Amalia - Boutique Hotel;2023-06-30;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Großes Doppelzimmer;2;331
Hotel Amalia - Boutique Hotel;2023-06-30;2;0;1;395-397 Postplatz, 84028 Landshut, Deutschland;;Deluxe Doppelzimmer mit Balkon;2;331
