name;date;adults;children;no_rooms;address;rating;room;capacity;price
Hotel Demas City;2023-04-10;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;78
Hotel Demas City;2023-04-10;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;109
Hotel Demas City;2023-04-10;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;88
Hotel Demas City;2023-04-10;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;119
Hotel Demas City;2023-04-11;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;88
Hotel Demas City;2023-04-11;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;119
Hotel Demas City;2023-04-11;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;92
Hotel Demas City;2023-04-11;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;122
Hotel Demas City;2023-04-11;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;140
Hotel Demas City;2023-04-11;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;170
Hotel Demas City;2023-04-12;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;151
Hotel Demas City;2023-04-12;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;182
Hotel Demas City;2023-04-12;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;199
Hotel Demas City;2023-04-12;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;230
Hotel Demas City;2023-04-13;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;97
Hotel Demas City;2023-04-13;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;128
Hotel Demas City;2023-04-13;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;97
Hotel Demas City;2023-04-13;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;128
Hotel Demas City;2023-04-13;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;148
Hotel Demas City;2023-04-13;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;179
Hotel Demas City;2023-04-14;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;122
Hotel Demas City;2023-04-14;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Standard Doppelzimmer;2;153
Hotel Demas City;2023-04-14;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;132
Hotel Demas City;2023-04-14;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Business Doppelzimmer;2;163
Hotel Demas City;2023-04-15;2;0;1;Landwehrstr. 19, Ludwigsvorstadt, 80336 München, Deutschland;8;Junior Suite mit Balkon;2;245
