name;date;adults;children;no_rooms;address;rating;room;capacity;price
Hotel GIO;2023-04-10;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;94
Hotel GIO;2023-04-10;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;99
Hotel GIO;2023-04-10;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer mit Blick auf den Innenhof;2;104
Hotel GIO;2023-04-10;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer mit Blick auf den Innenhof;2;109
Hotel GIO;2023-04-10;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Deluxe Doppelzimmer;2;114
Hotel GIO;2023-04-10;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Deluxe Doppelzimmer;2;120
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;89
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;94
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer mit Blick auf den Innenhof;2;105
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer mit Blick auf den Innenhof;2;111
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Deluxe Doppelzimmer;2;115
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Deluxe Doppelzimmer;2;121
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Suite;2;200
Hotel GIO;2023-04-11;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Suite;2;211
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;84
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;88
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer mit Blick auf den Innenhof;2;94
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer mit Blick auf den Innenhof;2;99
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Deluxe Doppelzimmer;2;104
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Deluxe Doppelzimmer;2;109
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Suite;2;189
Hotel GIO;2023-04-12;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Suite;2;199
Hotel GIO;2023-04-13;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;84
Hotel GIO;2023-04-13;2;0;1;Häberlstr. 9, Ludwigsvorstadt, 80337 München, Deutschland;8;Doppelzimmer;2;88
