name;date;adults;children;no_rooms;address;rating;room;capacity;price
relexa hotel München;2023-04-15;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;160
relexa hotel München;2023-04-15;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;170
relexa hotel München;2023-04-15;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;204
relexa hotel München;2023-04-15;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;169
relexa hotel München;2023-04-15;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;180
relexa hotel München;2023-04-15;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;214
relexa hotel München;2023-04-16;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;165
relexa hotel München;2023-04-16;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;175
relexa hotel München;2023-04-16;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;209
relexa hotel München;2023-04-16;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;174
relexa hotel München;2023-04-16;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;185
relexa hotel München;2023-04-16;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;219
relexa hotel München;2023-04-17;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;274
relexa hotel München;2023-04-17;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;292
relexa hotel München;2023-04-17;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;322
relexa hotel München;2023-04-17;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;283
relexa hotel München;2023-04-17;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;301
relexa hotel München;2023-04-17;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;331
relexa hotel München;2023-04-19;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;412
relexa hotel München;2023-04-19;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;438
relexa hotel München;2023-04-19;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;469
relexa hotel München;2023-04-19;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;420
relexa hotel München;2023-04-19;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;447
relexa hotel München;2023-04-19;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;478
relexa hotel München;2023-04-20;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;326
relexa hotel München;2023-04-20;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;347
relexa hotel München;2023-04-20;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;381
relexa hotel München;2023-04-22;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;209
relexa hotel München;2023-04-22;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;222
relexa hotel München;2023-04-22;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;253
relexa hotel München;2023-04-22;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;217
relexa hotel München;2023-04-22;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;231
relexa hotel München;2023-04-22;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;262
relexa hotel München;2023-04-23;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;123
relexa hotel München;2023-04-23;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;131
relexa hotel München;2023-04-23;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;161
relexa hotel München;2023-04-23;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;131
relexa hotel München;2023-04-23;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;140
relexa hotel München;2023-04-23;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;170
relexa hotel München;2023-04-24;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;125
relexa hotel München;2023-04-24;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;133
relexa hotel München;2023-04-24;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Comfort Doppelzimmer;2;162
relexa hotel München;2023-04-24;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;133
relexa hotel München;2023-04-24;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;141
relexa hotel München;2023-04-24;2;0;1;Schwanthalerstrasse 58-60, Ludwigsvorstadt, 80336 München, Deutschland;8,1;Superior Doppelzimmer;2;170
